disease,description,precautions
Fungal infection,Skin infection caused by fungi,"Keep skin dry, maintain hygiene, use antifungal treatment"
Allergy,Immune system reaction to substances,"Avoid allergens, keep surroundings clean, consult doctor"
GERD,Acid reflux condition,"Avoid spicy food, eat smaller meals, avoid lying down after eating"
Chronic cholestasis,Liver condition affecting bile flow,"Follow medical advice, maintain healthy diet"
Drug Reaction,Body reaction to medicines,"Avoid triggering medicines, consult healthcare professional"
Malaria,Mosquito-borne infectious disease,"Use mosquito protection, drink fluids, seek medical care"
Dengue,Viral infection spread by mosquitoes,"Stay hydrated, rest, monitor fever, consult doctor"
Typhoid,Bacterial infection caused by contaminated food/water,"Drink clean water, maintain hygiene, complete antibiotics"
Diabetes,Condition affecting blood sugar regulation,"Monitor sugar levels, exercise, maintain healthy diet"
Hypertension,High blood pressure condition,"Reduce salt intake, exercise, monitor blood pressure"